codigo,sensor,nombre,departamen,municipio,zona_hidro,latitud,longitud,categoria,unidad,dpto_cnmbr,mpio_cnmbr,depto_def,compara_dp,compara_mp,mpio_def,geometry,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain,prob_ep
2306500204,240,ALTO DEL VINO,CUNDINAMARCA,SAN FRANCISCO,MEDIO MAGDALENA,4.876736111,-74.287836111,PRECIPITACIÓN,mm,CUNDINAMARCA,SAN FRANCISCO,CUNDINAMARCA,T,T,SAN FRANCISCO,POINT (976670.5159289179 1031025.7960702175),2025-11-03,0.0,0.0,0.0,0.0,43.6,98.8,0.625
21206780,240,LA INDEPENDENCI,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.619272,-74.194594,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (987008.0821086097 1002552.3580201757),2025-11-03,1.3,0.0,0.0,0.0,16.5,66.8,0.65
26237100,240,OLAYA,ANTIOQUIA,LIBORINA,CAUCA,6.644944444,-75.82616667,PRECIPITACIÓN,mm,ANTIOQUIA,LIBORINA,ANTIOQUIA,T,T,LIBORINA,POINT (806609.7799338186 1226902.0202296146),2025-11-03,2.0,0.0,26.0,26.0,116.20000000000002,175.4,0.87
11115040,240,MUSINGA,ANTIOQUIA,FRONTINO,ATRATO - DARIÉN,6.777972222,-76.20333333,PRECIPITACIÓN,mm,ANTIOQUIA,FRONTINO,ANTIOQUIA,T,T,FRONTINO,POINT (764944.3819569462 1241786.7403771468),2025-11-03,31.6,0.0,10.4,12.4,163.3,261.0,0.885
35025080,240,PNN CHINGAZA,CUNDINAMARCA,LA CALERA,META,4.661,-73.82733,PRECIPITACIÓN,mm,CUNDINAMARCA,LA CALERA,CUNDINAMARCA,T,T,LA CALERA,POINT (1027758.2785975621 1007170.5601331781),2025-11-03,0.2,1.0,1.1,1.5,57.50000000000001,172.0,0.755
22077030,240,DIAMANTE EL,TOLIMA,RONCESVALLES,SALDAÑA,4.024166667000001,-75.6085,PRECIPITACIÓN,mm,TOLIMA,RONCESVALLES,TOLIMA,T,T,RONCESVALLES,POINT (829967.9541459002 936903.6398660091),2025-11-03,0.4,3.8,4.4,4.4,46.8,154.20000000000002,0.78
2120700146,240,UNIVERSIDAD DE LA SABANA,CUNDINAMARCA,CHÍA,ALTO MAGDALENA,4.85475,-74.04,PRECIPITACIÓN,mm,CUNDINAMARCA,CHÍA,CUNDINAMARCA,T,T,CHÍA,POINT (1004160.4828772158 1028590.9971010948),2025-11-03,0.0,0.2,0.2,0.6000000000000001,89.80000000000001,134.20000000000002,0.84
22070030,240,SANTA HELENA,TOLIMA,RONCESVALLES,SALDAÑA,4.124555556,-75.49952778,PRECIPITACIÓN,mm,TOLIMA,RONCESVALLES,TOLIMA,T,T,RONCESVALLES,POINT (842092.5717821437 947986.1430569937),2025-11-03,1.7,0.0,0.1,0.1,56.20000000000001,187.4,0.76
24025502,240,CHARALA-24025502,SANTANDER,CHARALÁ,SOGAMOSO,6.281416667,-73.13586944,PRECIPITACIÓN,mm,SANTANDER,CHARALÁ,SANTANDER,T,T,CHARALÁ,POINT (1104202.196636275 1186452.2023375789),2025-11-03,4.5,0.5,1.9,20.0,241.1,505.8999999999999,0.875
27015320,240,ARAGON,ANTIOQUIA,SANTA ROSA DE OSOS,NECHÍ,6.78,-75.56,PRECIPITACIÓN,mm,ANTIOQUIA,SANTA ROSA DE OSOS,ANTIOQUIA,T,T,SANTA ROSA DE OSOS,POINT (836098.2845545535 1241746.5408084965),2025-11-03,8.2,0.6,0.6,0.6,41.8,110.3,0.85
21017030,240,CASCADA SIMON BOLIVAR,HUILA,ISNOS,ALTO MAGDALENA,1.8735,-76.23172222,PRECIPITACIÓN,mm,HUILA,ISNOS,HUILA,T,T,ISNOS,POINT (760264.544695214 699076.5747608229),2025-11-03,15.4,0.0,0.0,0.0,34.800000000000004,78.00000000000001,0.745
35027001,240,PLAZA DE FERIAS,CUNDINAMARCA,CÁQUEZA,META,4.403388889000001,-73.94055556,PRECIPITACIÓN,mm,CUNDINAMARCA,CÁQUEZA,CUNDINAMARCA,T,T,CÁQUEZA,POINT (1015200.7795663438 978680.0817595514),2025-11-03,0.0,0.0,0.0,0.0,0.0,2.8000000000000003,0.595
21201200,240,ESCUELA LA UNION,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.342640000000001,-74.18381,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (988200.2462971411 971961.8591898665),2025-11-03,0.0,0.5,0.5,0.8,24.5,67.7,0.62
2401500052,240,PUENTE GUILLERMO,SANTANDER,PUENTE NACIONAL,SOGAMOSO,5.796416667,-73.726666667,PRECIPITACIÓN,mm,SANTANDER,PUENTE NACIONAL,SANTANDER,T,T,PUENTE NACIONAL,POINT (1038857.3458125872 1132736.0378345952),2025-11-03,0.0,4.2,4.2,12.8,74.2,188.6,0.805
2120000142,240,COLEGIO CARLOS PIZARRO,BOGOTÁ,BOGOTA D.C,ALTO MAGDALENA,4.63537,-74.20541,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTA D.C,POINT (985808.2531813412 1004332.7100947655),2025-11-03,0.9,0.0,0.0,0.0,23.5,70.30000000000001,0.705
2612500130,240,SALENTO,QUINDÍO,SALENTO,CAUCA,4.633475,-75.568858333,PRECIPITACIÓN,mm,QUINDIO,SALENTO,QUINDÍO,T,T,SALENTO,POINT (834504.0137165051 1004295.8981845608),2025-11-03,7.399999999999999,0.2,0.6000000000000001,17.400000000000002,246.39999999999995,406.4,0.735
21202220,240,PARAISO,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.62789,-74.0587,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (1002086.9072130928 1003504.3078746258),2025-11-03,0.0,0.3,0.3,0.3,21.0,51.3,0.575
22055020,240,MESA DE POLE,TOLIMA,ATACO,SALDAÑA,3.455777778,-75.53636111,PRECIPITACIÓN,mm,TOLIMA,ATACO,TOLIMA,T,T,ATACO,POINT (837877.0282996271 874016.7419333024),2025-11-03,3.8,0.0,8.3,12.0,134.4,314.3,0.855
2319500125,240,POLIDEPORTIVO CACHIRA,NORTE DE SANTANDER,CÁCHIRA,MEDIO MAGDALENA,7.73719,-73.04892,PRECIPITACIÓN,mm,NORTE DE SANTANDER,CÁCHIRA,NORTE DE SANTANDER,T,T,CÁCHIRA,POINT (1113472.2583338846 1347490.886987579),2025-11-03,0.0,0.0,0.0,8.4,99.4,162.8,0.81
26237040,240,PUERTO VALDIVIA,ANTIOQUIA,VALDIVIA,CAUCA,7.287116944,-75.396725,PRECIPITACIÓN,mm,ANTIOQUIA,VALDIVIA,ANTIOQUIA,T,T,VALDIVIA,POINT (854311.1841964774 1297791.4724211865),2025-11-03,41.5,0.9,5.1000000000000005,45.9,135.39999999999998,171.99999999999997,0.945
26155170,240,TESORITO FINCA,CALDAS,MANIZALES,CAUCA,5.032222222,-75.43833333,PRECIPITACIÓN,mm,CALDAS,MANIZALES,CALDAS,T,T,MANIZALES,POINT (849079.5563153167 1048373.4389032754),2025-11-03,0.8,0.0,3.9,18.2,64.30000000000001,122.1,0.77
21202250,240,DOÑA JUANA,BOGOTÁ,BOGOTÁ D.C,ALTO MAGDALENA,4.50082,-74.13739,PRECIPITACIÓN,mm,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",BOGOTÁ,T,T,BOGOTÁ D.C,POINT (993354.3754620198 989452.9859306107),2025-11-03,14.9,0.0,0.0,0.2,8.5,52.6,0.895
21035040,240,LIBANO EL,HUILA,SUAZA,ALTO MAGDALENA,1.87,-75.83,PRECIPITACIÓN,mm,HUILA,SUAZA,HUILA,T,T,SUAZA,POINT (804986.1245005026 698639.5123093327),2025-11-03,1.1,0.0,0.1,0.9,7.8,48.1,0.61
1111500036,240,ABRIAQUI,ANTIOQUIA,ABRIAQUÍ,ATRATO - DARIÉN,6.6363,-76.070733333,PRECIPITACIÓN,mm,ANTIOQUIA,ABRIAQUÍ,ANTIOQUIA,T,T,ABRIAQUÍ,POINT (779548.4186044957 1226047.748897086),2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.61
23125080,240,OTANCHE,BOYACÁ,OTANCHE,MEDIO MAGDALENA,5.661722222,-74.18461111,PRECIPITACIÓN,mm,BOYACÁ,OTANCHE,BOYACÁ,T,T,OTANCHE,POINT (988135.0960656262 1117829.8854430143),2025-11-03,8.0,0.0,0.0,34.4,250.60000000000005,437.6000000000001,0.875
22020020,240,PENA RICA,TOLIMA,PLANADAS,SALDAÑA,3.045055556,-75.76177778,PRECIPITACIÓN,mm,TOLIMA,PLANADAS,TOLIMA,T,T,PLANADAS,POINT (812743.894196416 828621.7661717808),2025-11-03,2.0,1.2,1.3,3.4000000000000004,88.49999999999999,159.0,0.8
35197070,240,PUENTE LAS CANAS,BOYACÁ,AQUITANIA,META,5.586694444,-72.81533333,PRECIPITACIÓN,mm,BOYACÁ,SOGAMOSO,BOYACÁ,T,T,AQUITANIA,POINT (1139852.8484698974 1109681.8296158032),2025-11-03,0.0,1.2,1.2,2.0,13.1,50.7,0.6
21025030,240,ALTAMIRA EL GRIFO,HUILA,ALTAMIRA,ALTO MAGDALENA,2.079166667,-75.73622222,PRECIPITACIÓN,mm,HUILA,ALTAMIRA,HUILA,T,T,ALTAMIRA,POINT (815447.6313159954 721767.8358017744),2025-11-03,0.0,0.0,0.0,0.0,0.0,10.7,0.57
21205970,240,HACIENDA SANTA ANA,CUNDINAMARCA,NEMOCÓN,ALTO MAGDALENA,5.0905,-73.88125,PRECIPITACIÓN,mm,CUNDINAMARCA,NEMOCÓN,CUNDINAMARCA,T,T,NEMOCÓN,POINT (1021761.7765449164 1054664.0416024837),2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.61
