codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
0011027030,2025-10-04,0.1,2.1,2.1,2.7,16.900000000000002,30.3
0011110010,2025-10-04,32.300000000000004,1.2,2.6,12.0,90.30000000000001,160.3
0011110110,2025-10-04,7.1,3.5999999999999996,3.5999999999999996,3.5999999999999996,39.2,104.2
0011115040,2025-10-04,34.1,1.9,4.5,6.7,58.6,117.8
0011117010,2025-10-04,5.0,0.8,3.5,5.800000000000001,37.2,85.19999999999999
0011117050,2025-10-04,0.6000000000000001,0.6000000000000001,2.0,2.8,21.400000000000002,57.8
0016015110,2025-10-04,0.0,0.0,0.0,0.0,0.0,0.0
0016015120,2025-10-04,0.0,0.0,0.0,0.0,11.0,16.5
0016015501,2025-09-30,0.06999999999999999,0.01,1.78,4.69,22.5,26.259999999999994
0016017020,2025-10-04,0.2,0.0,0.1,0.7,127.5,166.6
0016027120,2025-10-04,0.0,0.0,0.0,0.0,0.0,0.0
0016027280,2025-10-04,0.0,0.0,0.0,4.1,108.5,242.7
0016035030,2025-10-04,0.0,0.0,0.0,0.0,0.8,0.8
0016055120,2025-10-04,0.8,0.30000000000000004,66.39999999999999,66.6,125.39999999999998,165.9
0021015020,2025-10-04,13.200000000000001,6.5,6.6,6.699999999999999,28.300000000000004,67.6
0021015030,2025-10-04,2.6999999999999997,11.469999999999999,14.489999999999998,15.04,37.50999999999999,53.7
0021015040,2025-10-04,0.0,0.0,0.0,0.0,1.5000000000000002,9.1
0021015050,2025-10-04,0.0,0.0,0.0,0.0,0.0,0.0
0021017030,2025-10-04,3.4,8.0,8.8,8.8,23.000000000000004,42.99999999999999
0021017040,2025-10-04,1.0,1.2000000000000002,1.4000000000000001,1.4000000000000001,19.4,41.800000000000004
0021025030,2025-10-04,2.8,4.9,4.9,4.9,51.599999999999994,74.69999999999999
0021035040,2025-10-04,2.3000000000000003,11.3,11.3,11.4,37.5,62.0
