codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
0023180070,2025-11-03,0.4,0.0,0.0,2.4,299.59999999999997,399.2
0023190130,2025-11-03,0.0,0.0,0.0,0.2,109.4,163.60000000000002
0023190380,2025-11-03,0.2,0.2,0.30000000000000004,0.30000000000000004,125.79999999999998,195.10000000000002
0023190700,2025-11-03,0.0,0.0,0.0,4.6,90.80000000000001,179.79999999999998
0023195110,2025-11-03,0.0,0.0,0.0,0.2,53.300000000000004,91.5
0023195200,2025-11-03,0.0,0.0,0.0,4.6000000000000005,94.60000000000001,166.8
0023195240,2025-11-03,0.0,5.3,5.3,9.0,47.50000000000001,109.9
0023195502,2025-11-03,0.0,0.0,0.0,0.5,321.20000000000005,410.79999999999995
0023197690,2025-11-03,0.0,0.0,0.0,1.5,41.49999999999999,94.4
0023205020,2025-11-03,45.0,0.0,0.0,15.200000000000001,249.60000000000002,435.00000000000006
0024015110,2025-11-03,0.1,0.5,0.5,0.5,6.8999999999999995,72.0
0024015300,2025-11-03,0.0,0.0,0.0,0.0,1.4,3.2
0024015380,2025-11-03,0.0,0.2,1.2,1.2,1.2,1.2
0024015509,2025-11-03,0.1,0.1,0.2,6.1,64.89999999999999,185.39999999999998
0024015510,2025-11-03,0.0,0.0,8.4,12.7,115.50000000000001,250.20000000000002
0024015511,2025-11-03,0.0,0.0,1.3,11.000000000000002,95.4,249.70000000000002
0024015514,2025-11-03,0.5,0.0,1.5,40.3,223.8,423.3
0024015515,2025-11-03,0.0,0.0,0.0,9.0,140.79999999999998,332.9
0024015517,2025-11-03,29.2,0.0,26.9,34.0,156.70000000000002,280.70000000000005
0024015518,2025-11-03,0.1,0.0,0.1,3.1,78.5,130.40000000000003
0024015519,2025-11-03,2.7,0.0,0.0,16.7,158.8,322.09999999999997
0024017590,2025-11-03,3.0000000000000004,14.399999999999999,14.399999999999999,22.6,152.99999999999997,337.40000000000003
0024017600,2025-11-03,4.800000000000001,0.2,0.2,16.2,166.60000000000002,364.59999999999997
0024017640,2025-11-03,0.0,0.0,3.2,4.4,74.00000000000001,170.80000000000004
0024017707,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0024017740,2025-11-03,1.2,10.2,10.2,12.799999999999999,42.599999999999994,126.4
0024025090,2025-11-03,1.7,0.2,0.2,5.1000000000000005,125.89999999999999,286.3999999999999
0024025502,2025-11-03,4.5,0.5,1.9000000000000001,20.0,241.1,505.8999999999999
0024025503,2025-11-03,0.0,0.0,0.0,9.8,69.8,130.8
0024025504,2025-11-03,0.0,0.0,0.0,26.599999999999998,134.3,305.20000000000005
0024025505,2025-11-03,1.6,0.2,0.2,6.1,121.29999999999998,283.2
0024027070,2025-11-03,0.0,0.0,0.6,2.8000000000000003,180.40000000000003,540.6
0024030140,2025-11-03,0.0,0.0,0.0,0.0,3.4,36.400000000000006
0024030680,2025-11-03,0.0,0.8,0.8,2.6,79.80000000000001,128.20000000000002
0024030950,2025-11-03,0.0,0.0,21.2,21.8,224.99999999999997,344.19999999999993
0024035250,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0024035340,2025-11-03,0.0,0.0,0.0,3.0,51.400000000000006,94.10000000000001
0024035360,2025-11-03,0.0,0.0,0.0,0.8,9.6,55.5
0024035390,2025-11-03,0.0,2.3000000000000003,2.3000000000000003,8.5,75.99999999999999,145.90000000000003
0024035410,2025-11-03,0.0,0.0,0.0,0.9,10.1,27.999999999999996
0024035430,2025-11-03,0.1,0.0,0.0,3.1,10.899999999999999,60.900000000000006
0024035502,2025-11-03,0.0,0.0,0.0,0.4,45.6,146.4
0024035503,2025-11-03,0.0,0.0,0.0,3.3000000000000003,6.8,22.4
0024035505,2025-11-03,0.0,0.0,0.0,0.8,20.7,67.0
0024035506,2025-11-03,20.7,2.7,2.7,15.899999999999999,184.8,184.79999999999998
0024035507,2025-11-03,0.0,0.0,0.0,1.0,8.7,71.9
0024035508,2025-11-03,0.30000000000000004,0.1,0.30000000000000004,1.1,68.2,124.79999999999998
0024035509,2025-11-03,0.0,0.0,0.0,18.0,88.3,178.7
0024035510,2025-11-03,0.0,0.0,0.0,3.0,13.3,37.9
0024037030,2025-11-03,0.2,0.0,0.2,0.2,19.0,90.4
0024037080,2025-11-03,0.0,0.0,0.0,0.0,2.6,14.6
0024037190,2025-11-03,0.0,0.0,0.0,6.4,27.4,115.6
0024037290,2025-11-03,0.0,0.0,0.0,2.8000000000000003,23.6,46.2
0024055080,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.2
0024055503,2025-11-03,0.0,0.0,1.4,1.4,45.1,128.8
0024055504,2025-11-03,1.5,0.0,0.0,0.7,81.8,107.30000000000001
0024057070,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.2
0024065010,2025-11-03,25.2,0.4,0.4,2.2,85.19999999999999,302.2
0025025330,2025-11-03,1.0,0.0,0.0,0.0,1.0,1.4
0026015040,2025-11-03,1.0,0.0,0.30000000000000004,0.5,13.700000000000001,24.2
0026015050,2025-11-03,0.9,0.0,0.0,0.0,36.0,82.9
0026055120,2025-11-03,2.8,0.0,0.0,0.0,111.60000000000001,255.2
0026075120,2025-11-03,0.30000000000000004,1.6,23.400000000000002,25.400000000000002,91.80000000000001,117.8
0026075150,2025-11-03,14.8,0.0,0.0,0.0,73.0,276.9
0026085160,2025-11-03,0.0,0.0,0.0,0.1,45.10000000000001,128.29999999999998
0026085170,2025-11-03,0.4,0.0,0.0,0.0,17.700000000000003,40.300000000000004
0026105250,2025-11-03,1.2,0.2,1.1,8.0,60.1,117.8
0026125061,2025-11-03,3.114,0.0,0.916,45.596,276.28899999999993,520.247
0026125300,2025-11-03,13.4,0.0,0.6000000000000001,0.6000000000000001,95.2,141.79999999999998
0026125710,2025-11-03,32.0,0.0,0.4,12.4,344.0,826.4000000000001
0026127010,2025-11-03,3.8000000000000003,0.0,0.2,2.8000000000000003,189.2,491.40000000000003
0026127040,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0026145090,2025-11-03,0.1,23.6,25.8,28.200000000000003,164.70000000000002,256.8
0026147140,2025-11-03,0.0,0.0,0.0,0.0,2.4000000000000004,147.2
0026155110,2025-11-03,1.0,2.6,3.2,3.8000000000000003,5.6000000000000005,7.200000000000001
0026155150,2025-11-03,0.9,0.0,0.9,3.1,38.9,125.0
0026155170,2025-11-03,0.8,0.0,3.9,18.2,64.30000000000001,122.1
0026155250,2025-11-03,0.0,0.0,0.1,2.4000000000000004,66.0,128.70000000000002
0026155260,2025-11-03,0.4,0.0,2.0,7.6000000000000005,39.8,55.4
0026157190,2025-11-03,3.0,8.2,8.2,8.2,8.2,8.2
0026167070,2025-11-03,0.0,0.0,0.2,0.4,15.8,52.6
0026175040,2025-11-03,6.6,0.0,21.4,52.7,245.3,330.0
0026180250,2025-11-03,0.0,0.0,0.0,0.2,56.99999999999999,108.2
0026185020,2025-11-03,52.8,33.6,53.2,68.0,295.8,508.2
0026185050,2025-11-03,21.4,0.0,34.2,37.7,116.0,199.89999999999998
0026187040,2025-11-03,0.0,0.0,0.0,0.0,0.1,17.3
0026207030,2025-11-03,14.0,0.0,10.4,57.6,172.6,250.99999999999997
0026207080,2025-11-03,251.0,7.5,161.5,166.5,629.5,1091.5
0026217010,2025-11-03,0.0,0.0,6.2,6.2,71.0,109.0
0026225060,2025-11-03,0.7,0.0,6.3,6.3,57.10000000000001,83.8
0026237040,2025-11-03,41.5,0.9,5.1000000000000005,45.9,135.39999999999998,171.99999999999997
0026237100,2025-11-03,2.0,0.0,26.0,26.0,116.20000000000002,175.4
0026247010,2025-11-03,1.6,0.0,0.0,7.0,142.4,322.59999999999997
0026255030,2025-11-03,51.1,2.5,30.099999999999998,41.5,281.50000000000006,490.8
0027010810,2025-11-03,4.6,3.1,3.7,8.2,117.3,209.2
0027011100,2025-11-03,10.9,0.7000000000000001,0.8,9.600000000000001,165.8,381.2
0027015190,2025-11-03,3.9,7.0,7.0,70.7,346.09999999999997,550.5000000000001
0027015260,2025-11-03,5.4,1.8,5.9,8.3,178.4,327.90000000000003
0027015280,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0027015310,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0027015320,2025-11-03,8.2,0.6,0.6,0.6,41.800000000000004,110.3
0027015330,2025-11-03,3.444,5.444,5.444,11.728000000000002,97.328,255.728
0027025030,2025-11-03,21.0,0.0,0.0,0.0,254.0,320.7
0027027060,2025-11-03,0.0,0.0,0.0,0.0,33.800000000000004,33.800000000000004
0027030140,2025-11-03,5.9,0.2,0.2,13.2,174.6,300.90000000000003
0027035050,2025-11-03,20.3,3.3999999999999995,10.899999999999999,22.7,184.70000000000005,462.7
0027037020,2025-11-03,13.4,0.2,24.999999999999996,29.799999999999997,211.40000000000003,466.99999999999994
0028025090,2025-11-03,74.7,89.8,167.89999999999998,239.29999999999995,1589.6,3593.0
0035020300,2025-11-03,2.1,0.0,0.0,0.0,23.599999999999994,116.5
0035025060,2025-11-03,0.0,0.6000000000000001,0.6000000000000001,1.6,20.0,50.2
0035025080,2025-11-03,0.2,1.0,1.1,1.5,57.50000000000001,172.0
0035027001,2025-11-03,0.0,0.0,0.0,0.0,0.0,2.8000000000000003
0035027100,2025-11-03,0.0,0.0,0.0,0.0,8.6,24.199999999999996
0035027150,2025-11-03,0.2,0.0,0.0,0.8,57.300000000000004,102.4
0035035130,2025-11-03,0.0,0.4,0.4,1.7999999999999998,18.2,43.6
0035060210,2025-11-03,0.0,2.2,2.2,2.8000000000000003,76.3,192.89999999999998
0035075030,2025-11-03,0.0,0.0,0.0,0.0,7.000000000000001,33.8
0035075040,2025-11-03,0.0,0.0,0.0,0.0,55.5,141.1
0035075070,2025-11-03,0.0,0.0,0.0,0.0,24.9,141.8
0035075080,2025-11-03,0.0,0.0,0.0,0.0,4.899999999999999,12.400000000000002
0035080050,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
0035085060,2025-11-03,0.0,0.30000000000000004,0.30000000000000004,0.4,6.5,18.900000000000002
0035085070,2025-11-03,0.1,0.1,0.1,0.1,17.8,65.8
0035085080,2025-11-03,0.0,0.1,0.1,0.1,5.8,20.000000000000004
0035087020,2025-11-03,0.0,19.7,19.7,19.7,92.70000000000002,225.8
0035095120,2025-11-03,0.0,0.4,0.4,0.5,4.9,13.700000000000001
0035095130,2025-11-03,0.0,0.0,0.0,0.0,1.1,51.0
0035160000,2025-11-03,0.0,1.1,1.1,2.7,17.700000000000003,78.70000000000002
0035160010,2025-11-03,0.0,0.30000000000000004,0.7000000000000001,0.8,38.199999999999996,75.2
0035167000,2025-11-03,0.0,0.2,0.2,0.8,4.6,18.8
0035195060,2025-11-03,0.0,1.15,1.15,4.47,15.1,65.66
0035197020,2025-11-03,0.0,0.0,0.0,0.1,0.8,3.5000000000000004
0035197070,2025-11-03,0.0,1.2,1.2,2.0,13.100000000000001,50.699999999999996
0035215030,2025-11-03,0.9,2.5,3.4,15.200000000000001,32.300000000000004,149.60000000000002
0035217030,2025-11-03,0.0,0.0,0.4,0.4,72.10000000000001,281.2
0035217090,2025-11-03,0.0,0.2,0.2,0.5,19.3,79.0
0035235010,2025-11-03,13.5,8.9,17.5,26.8,188.4,350.09999999999997
0037015030,2025-11-03,0.0,0.7000000000000001,0.7000000000000001,2.1,68.8,139.5
0037017040,2025-11-03,0.0,2.4000000000000004,2.4000000000000004,2.4000000000000004,37.8,66.2
0044015060,2025-11-03,13.799999999999999,0.30000000000000004,7.3,42.199999999999996,144.60000000000002,321.2
0044017120,2025-11-03,4.6000000000000005,0.2,3.8000000000000003,11.8,128.2,247.59999999999997
0044037040,2025-11-03,0.0,0.1,0.1,0.1,0.30000000000000004,0.5
0047015100,2025-11-03,83.2,113.7,140.9,178.2,1028.4,3302.7
0047017070,2025-11-03,4.8,0.2,2.4000000000000004,3.8000000000000007,87.60000000000002,194.79999999999998
0047017110,2025-11-03,47.0,4.6000000000000005,10.4,11.200000000000001,85.8,167.60000000000002
0051020011,2025-11-03,102.1,1.8,3.0,26.1,156.2,324.3
0052010020,2025-11-03,5.8,3.7,3.9000000000000004,6.700000000000001,194.40000000000003,334.00000000000006
0052017030,2025-11-03,11.6,1.2000000000000002,1.8000000000000003,2.0000000000000004,59.400000000000006,59.400000000000006
0052025080,2025-11-03,4.4,0.0,0.4,0.5,85.7,154.39999999999998
0052025090,2025-11-03,15.8,3.4,3.6,14.9,130.1,236.79999999999998
0052035040,2025-11-03,8.7,0.4,0.4,0.5,63.6,123.0
0052045080,2025-11-03,29.0,0.0,0.0,0.0,54.5,98.7
0052050060,2025-11-03,10.8,0.9,0.9,0.9,62.900000000000006,106.00000000000001
0052050080,2025-11-03,16.1,0.0,0.0,2.4,115.10000000000001,212.69999999999996
0052050090,2025-11-03,3.5,0.2,0.2,0.2,65.7,82.10000000000001
0052055210,2025-11-03,17.5,0.0,0.0,1.5,62.50000000000001,105.5
0052055220,2025-11-03,1.1,1.3,1.4000000000000001,5.8,56.8,97.29999999999998
0052055230,2025-11-03,35.602000000000004,4.691,4.721,7.529,129.22899999999998,209.519
0052077010,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
1111500036,2025-11-03,0.0,0.0,0.0,0.0,0.0,0.0
1111500203,2025-11-03,17.7,8.1,25.299999999999997,46.5,258.7,410.50000000000006
1602500044,2025-11-03,0.0,0.0,0.0,1.2000000000000002,14.600000000000001,232.0
1602500063,2025-11-03,0.0,0.0,0.0,0.0,72.4,183.60000000000002
1602500110,2025-11-03,0.0,0.0,0.0,0.0,0.2,0.6000000000000001
2119500111,2025-11-03,5.0,0.0,0.0,55.0,248.6,412.4000000000001
2120000099,2025-11-03,0.0,0.0,0.0,0.0,22.200000000000003,86.8
