codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
2120000121,2025-11-02,0.0,0.0,0.0,0.0,10.2,77.50000000000001
2120000122,2025-11-02,0.0,0.0,0.0,0.5,18.5,72.5
2120000123,2025-11-02,0.0,0.0,0.1,0.6,23.1,82.6
2120000124,2025-11-02,0.0,0.0,0.0,4.9,12.8,80.69999999999999
2120000125,2025-11-02,0.0,0.0,0.0,0.0,11.100000000000001,61.300000000000004
2120000126,2025-11-02,0.0,0.0,1.1,1.1,10.700000000000001,43.599999999999994
2120000127,2025-11-02,0.0,0.0,0.2,0.2,11.3,51.800000000000004
2120000128,2025-11-02,0.0,0.0,0.1,0.1,11.0,37.00000000000001
2120000129,2025-11-02,0.0,0.0,0.0,0.0,8.9,34.9
2120000130,2025-11-02,0.0,0.0,0.0,0.0,9.500000000000002,52.50000000000001
2120000131,2025-11-02,0.0,0.0,0.0,0.0,4.0,47.60000000000001
2120000132,2025-11-02,0.0,0.0,0.0,0.0,8.100000000000001,65.9
2120000133,2025-11-02,0.0,0.0,0.4,0.4,12.5,61.0
2120000134,2025-11-02,0.0,0.0,0.0,0.0,19.700000000000003,68.10000000000001
2120000135,2025-11-02,0.1,0.0,0.0,0.0,36.1,63.6
2120000136,2025-11-02,0.0,0.0,0.0,0.0,40.1,113.5
2120000137,2025-11-02,0.0,0.0,0.0,0.0,58.400000000000006,119.0
2120000138,2025-11-02,0.0,0.0,0.0,0.0,40.9,77.30000000000001
2120000139,2025-11-02,0.0,0.0,0.0,0.0,7.200000000000001,44.9
2120000140,2025-11-02,0.0,0.0,0.0,0.0,20.699999999999996,89.6
2120000142,2025-11-02,0.0,0.0,0.0,0.8,25.6,70.30000000000001
2120000169,2025-11-02,0.1,0.0,0.2,0.2,11.5,38.2
2120000170,2025-11-02,0.0,0.0,0.0,0.0,8.0,38.699999999999996
2120000171,2025-11-02,0.0,0.0,0.0,0.0,37.5,88.6
2120000172,2025-11-02,0.0,0.0,0.0,0.0,52.699999999999996,111.9
