codigoestacion,data,daily rain,1-rain ant.rain,2-rain ant.rain,3-rain ant.rain,15-rain ant.rain,30-rain ant.rain
0011027030,2025-10-07,3.9,0.9,1.0,1.1,13.3,25.4
0011110010,2025-10-07,16.8,45.7,66.7,99.0,164.60000000000002,195.2
0011110110,2025-10-07,0.0,18.6,18.6,25.700000000000003,56.599999999999994,67.3
0011115040,2025-10-07,13.8,32.7,37.800000000000004,71.9,108.60000000000002,140.6
0011117010,2025-10-07,5.7,13.0,13.7,18.7,50.5,65.9
0011117050,2025-10-07,0.0,4.4,7.0,7.6,26.4,34.0
0016015110,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0016015120,2025-10-07,0.1,0.0,2.1,2.1,8.4,16.1
0016017020,2025-10-07,0.0,0.7999999999999999,9.900000000000002,10.100000000000001,12.700000000000001,175.6
0016027120,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0016027280,2025-10-07,0.0,0.8,83.4,83.4,161.3,238.60000000000002
0016035030,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.8
0016055120,2025-10-07,0.1,0.30000000000000004,9.3,10.100000000000001,98.4,167.29999999999998
0021015020,2025-10-07,0.0,0.1,0.2,13.4,33.10000000000001,76.19999999999999
0021015030,2025-10-07,0.0,0.0,0.04,2.7399999999999998,35.66,51.1
0021015040,2025-10-07,0.0,0.0,0.0,0.0,1.4000000000000001,3.4
0021015050,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021017030,2025-10-07,0.0,0.0,0.0,3.4,19.8,41.99999999999999
0021017040,2025-10-07,4.2,0.6000000000000001,0.6000000000000001,1.6,12.8,37.2
0021025030,2025-10-07,1.0,4.2,4.4,7.2,19.900000000000002,73.10000000000001
0021035040,2025-10-07,0.0,0.9,1.1,3.4000000000000004,34.8,55.7
0021037020,2025-10-07,0.6000000000000001,0.0,0.0,4.0,48.800000000000004,111.19999999999999
0021045010,2025-10-07,0.30000000000000004,0.0,0.0,0.0,1.2000000000000002,17.3
0021050060,2025-10-07,4.4,0.0,0.0,1.7,22.0,37.4
0021055020,2025-10-07,24.2,4.0,4.0,4.0,11.6,28.799999999999997
0021057050,2025-10-07,0.0,1.4,1.4,1.4,12.200000000000001,25.6
0021057060,2025-10-07,0.4,0.4,0.4,0.4,4.0,26.799999999999997
0021065040,2025-10-07,0.30000000000000004,8.5,9.9,9.9,25.3,44.7
0021085030,2025-10-07,40.4,1.2,1.2,1.2,13.2,88.20000000000002
0021095010,2025-10-07,0.2,0.0,0.0,0.0,7.3,18.4
0021097070,2025-10-07,0.0,0.0,0.0,0.0,36.0,53.0
0021097120,2025-10-07,0.0,0.0,0.0,0.0,6.000000000000001,11.000000000000002
0021105030,2025-10-07,0.2,0.6000000000000001,1.2000000000000002,1.2000000000000002,16.599999999999998,35.400000000000006
0021115100,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021115170,2025-10-07,0.1,0.0,0.0,0.0,2.1,31.3
0021115180,2025-10-07,3.2,6.3999999999999995,6.3999999999999995,6.3999999999999995,25.4,28.9
0021117100,2025-10-07,0.5,2.7,2.7,2.8000000000000003,11.3,22.200000000000003
0021125010,2025-10-07,6.0,0.0,0.0,0.0,8.9,133.4
0021127030,2025-10-07,3.6000000000000005,0.0,0.0,0.0,14.0,192.79999999999998
0021130050,2025-10-07,0.1,0.0,0.0,0.0,5.299999999999999,7.6
0021135020,2025-10-07,3.2,0.4,0.4,0.4,69.09999999999998,176.8
0021137050,2025-10-07,12.599999999999998,0.0,5.800000000000001,6.000000000000001,15.0,23.200000000000003
0021140120,2025-10-07,1.0,10.3,10.3,13.4,23.3,39.900000000000006
0021147030,2025-10-07,0.4,0.0,0.2,3.8000000000000003,45.800000000000004,55.400000000000006
0021167060,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021167080,2025-10-07,13.9,0.1,1.5,1.5,24.200000000000003,98.29999999999998
0021185030,2025-10-07,5.300000000000001,0.8,0.8,0.8,13.899999999999999,13.899999999999999
0021185080,2025-10-07,2.7,0.6000000000000001,0.6000000000000001,0.6000000000000001,11.900000000000002,34.900000000000006
0021185090,2025-10-07,6.4,9.4,9.4,9.4,91.4,177.60000000000002
0021187030,2025-10-07,1.8,0.4,0.4,0.4,50.2,134.0
0021195120,2025-10-07,0.4,1.0,1.0,1.0,48.2,88.80000000000001
0021195190,2025-10-07,0.2,1.0,1.0,1.0,34.1,47.9
0021201200,2025-10-07,1.3,0.9,0.9,2.2,16.7,21.0
0021201580,2025-10-07,8.6,0.0,0.5,0.5,13.1,22.5
0021201980,2025-10-07,3.2,0.30000000000000004,0.30000000000000004,1.2000000000000002,7.6000000000000005,14.000000000000002
0021202180,2025-10-07,1.7000000000000002,0.0,0.2,0.2,9.500000000000002,18.500000000000004
0021202190,2025-10-07,3.7,0.0,0.0,0.5,24.3,34.1
0021202220,2025-10-07,2.8000000000000003,0.0,0.1,1.3000000000000003,10.9,15.0
0021202230,2025-10-07,4.6000000000000005,0.9,1.0,1.0,15.400000000000002,22.6
0021202240,2025-10-07,2.7,0.0,0.2,1.0,11.200000000000001,17.1
0021202250,2025-10-07,2.9000000000000004,0.0,0.0,0.0,16.3,25.300000000000004
0021205012,2025-10-07,2.7,1.6,2.2,2.2,14.000000000000002,27.700000000000003
0021205420,2025-10-07,1.9000000000000001,2.9,2.9,2.9,24.900000000000006,42.0
0021205660,2025-10-07,8.2,0.0,0.0,1.0,97.6,106.0
0021205670,2025-10-07,0.9,0.0,0.0,0.0,26.299999999999997,46.0
0021205700,2025-10-07,8.4,0.0,0.2,0.2,2.8000000000000003,17.2
0021205710,2025-10-07,2.7,0.0,0.1,0.9,10.2,28.7
0021205791,2025-10-07,4.03,0.0,0.0,0.208,47.67600000000001,76.884
0021205910,2025-10-07,0.2,0.0,0.0,0.0,5.6000000000000005,11.4
0021205940,2025-10-07,0.2,0.6000000000000001,0.6000000000000001,0.6000000000000001,24.8,32.8
0021205970,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021206280,2025-10-07,0.5,0.0,0.0,0.0,12.6,20.2
0021206560,2025-10-07,2.0,0.7,0.7,0.7,11.600000000000001,33.400000000000006
0021206600,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021206780,2025-10-07,1.7000000000000002,0.5,0.5,0.5,7.1,30.2
0021206810,2025-10-07,2.1,2.3000000000000003,2.3000000000000003,2.3000000000000003,11.0,24.1
0021206890,2025-10-07,4.4,0.0,1.5,5.4,15.6,24.200000000000003
0021206900,2025-10-07,18.1,0.1,0.5,0.7,22.300000000000004,39.900000000000006
0021206920,2025-10-07,2.3000000000000003,2.6,3.0,5.2,22.60000000000001,51.7
0021206930,2025-10-07,3.0,0.30000000000000004,0.30000000000000004,1.1,25.9,37.699999999999996
0021206980,2025-10-07,9.5,0.2,1.6,1.9000000000000001,13.500000000000002,30.6
0021208480,2025-10-07,1.6,0.5,0.5,0.5,6.0,23.1
0021209920,2025-10-07,6.2,0.1,0.1,0.30000000000000004,12.1,37.1
0021215160,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021215190,2025-10-07,23.1,0.0,5.3,5.3,58.0,77.4
0021217180,2025-10-07,26.0,0.0,10.5,10.5,175.5,245.5
0021227010,2025-10-07,8.6,0.0,0.0,0.0,84.2,117.80000000000001
0021235030,2025-10-07,14.8,0.1,0.1,0.1,54.099999999999994,54.400000000000006
0021245140,2025-10-07,20.4,0.0,1.2,1.2,57.4,120.6
0021255090,2025-10-07,0.0,0.0,6.1,16.7,87.8,125.80000000000001
0021255160,2025-10-07,0.1,0.1,0.30000000000000004,0.30000000000000004,0.7,1.3000000000000003
0021255170,2025-10-07,0.0,0.0,0.1,0.1,2.1,3.0000000000000004
0021257090,2025-10-07,0.0,0.0,0.6000000000000001,0.6000000000000001,23.4,69.0
0021257100,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0021257120,2025-10-07,1.1,0.1,44.800000000000004,44.800000000000004,131.6,201.9
0022017020,2025-10-07,3.0,0.0,0.0,5.8,46.800000000000004,109.80000000000001
0022020020,2025-10-07,2.2,3.9000000000000004,3.9000000000000004,3.9000000000000004,20.400000000000002,57.60000000000001
0022045010,2025-10-07,15.0,0.0,0.0,0.0,110.4,220.79999999999998
0022055020,2025-10-07,4.8,0.0,0.0,1.8,63.699999999999996,141.79999999999998
0022057010,2025-10-07,3.3,0.0,0.0,0.0,83.4,156.70000000000002
0022065040,2025-10-07,22.1,2.8,10.0,12.9,86.3,132.39999999999998
0022070030,2025-10-07,12.9,1.0,1.2,1.2,85.9,104.6
0022075050,2025-10-07,11.1,0.2,5.9,8.8,53.70000000000001,69.00000000000001
0022077030,2025-10-07,16.4,0.0,3.6,7.800000000000001,66.2,84.4
0022077050,2025-10-07,57.800000000000004,9.600000000000001,16.0,16.0,85.00000000000001,183.20000000000002
0023025040,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0023035030,2025-10-07,14.899999999999999,0.0,0.0,10.8,40.7,60.8
0023037010,2025-10-07,0.0,0.0,0.0,0.0,0.4,0.4
0023057140,2025-10-07,2.0,0.0,0.7000000000000001,0.7000000000000001,7.500000000000001,20.7
0023065110,2025-10-07,3.0,0.6000000000000001,9.0,9.0,62.400000000000006,181.80000000000004
0023065120,2025-10-07,0.5,0.0,0.0,0.0,7.700000000000001,28.900000000000002
0023065180,2025-10-07,0.1,1.7000000000000002,1.7000000000000002,1.7000000000000002,29.799999999999997,138.8
0023065190,2025-10-07,18.2,0.0,0.0,0.0,123.0,193.0
0023067040,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0023067050,2025-10-07,2.9,0.0,0.0,0.0,59.199999999999996,63.599999999999994
0023067060,2025-10-07,0.0,0.0,0.0,0.0,44.7,58.2
0023067070,2025-10-07,0.0,0.8,0.8,0.8,10.099999999999998,16.0
0023067080,2025-10-07,1.4,7.4,7.4,7.4,90.60000000000001,124.20000000000002
0023085080,2025-10-07,0.0,51.0,80.4,87.80000000000001,264.99999999999994,338.59999999999997
0023085160,2025-10-07,0.2,17.8,36.8,36.8,139.0,218.79999999999998
0023085220,2025-10-07,3.2,26.400000000000002,36.2,44.2,237.4,344.6000000000001
0023085260,2025-10-07,8.200000000000001,21.5,23.7,23.8,112.0,164.49999999999997
0023085270,2025-10-07,18.400000000000002,33.6,40.800000000000004,40.800000000000004,236.0,368.8
0023087150,2025-10-07,7.4,9.6,11.8,11.8,81.6,123.80000000000001
0023087190,2025-10-07,2.8000000000000003,32.8,40.8,56.599999999999994,192.0,318.79999999999995
0023087210,2025-10-07,0.0,22.1,41.5,72.5,238.09999999999997,316.9
0023087670,2025-10-07,7.0,12.3,15.5,17.6,85.1,133.0
0023097030,2025-10-07,0.0,40.7,45.7,46.0,110.9,186.4
0023105070,2025-10-07,0.0,0.0,0.0,0.0,0.0,0.0
0023125080,2025-10-07,0.0,3.8,5.0,9.4,247.20000000000002,289.40000000000003
0023125100,2025-10-07,0.0,0.0,0.0,0.0,42.8,46.00000000000001
0023125120,2025-10-07,0.0,3.7,10.9,13.0,120.7,188.40000000000003
0023125140,2025-10-07,0.0,0.0,49.4,49.4,197.00000000000003,287.8
0023125170,2025-10-07,0.0,0.1,0.1,0.7000000000000001,3.1000000000000005,5.200000000000001
0023127020,2025-10-07,0.0,50.9,52.6,54.300000000000004,107.5,146.79999999999998
0023127050,2025-10-07,0.0,55.3,56.699999999999996,62.99999999999999,104.49999999999999,148.1
0023127060,2025-10-07,0.0,9.4,16.6,19.400000000000002,198.60000000000002,324.79999999999995
0023145501,2025-10-07,1.9000000000000001,23.7,27.2,29.2,128.70000000000002,192.0
0023147020,2025-10-07,0.0,35.300000000000004,40.6,46.4,157.0,194.8
0023155030,2025-10-07,0.1,39.1,39.4,67.3,195.9,255.00000000000003
0023175020,2025-10-07,0.0,11.0,11.0,39.400000000000006,214.00000000000003,291.0
0023180070,2025-10-07,0.0,53.2,53.2,54.0,180.2,242.0
0023190130,2025-10-07,0.0,0.0,0.0,4.2,27.200000000000003,33.8
